timestamp,open,high,low,close,volume
2025-11-10 16:00:00,2.1492,2.1698,2.1234,2.1499,5523834.9
2025-11-10 20:00:00,2.1498,2.18,2.1131,2.1631,5271256.2
2025-11-11 00:00:00,2.1631,2.2064,2.117,2.1927,9261494.0
2025-11-11 04:00:00,2.1926,2.1956,2.0351,2.0843,9190645.8
2025-11-11 08:00:00,2.0844,2.1059,2.0715,2.0934,5623949.3
2025-11-11 12:00:00,2.0935,2.1089,2.0678,2.0788,6906144.6
2025-11-11 16:00:00,2.0788,2.0951,2.0368,2.0415,5630377.3
2025-11-11 20:00:00,2.0416,2.0457,2.002,2.0079,5122982.6
2025-11-12 00:00:00,2.008,2.0345,1.9944,2.0233,4120690.6
2025-11-12 04:00:00,2.0233,2.0462,2.01,2.0121,3695908.2
2025-11-12 08:00:00,2.0121,2.0828,2.0121,2.0693,5323288.5
2025-11-12 12:00:00,2.0693,2.0987,1.9893,1.9974,8361010.0
2025-11-12 16:00:00,1.9975,2.0051,1.9492,1.9641,9368470.6
2025-11-12 20:00:00,1.964,1.9891,1.9581,1.9676,3059974.4
2025-11-13 00:00:00,1.9675,2.0253,1.9497,2.0049,5101555.8
2025-11-13 04:00:00,2.005,2.0393,1.9898,2.0232,5488676.1
2025-11-13 08:00:00,2.0232,2.0361,2.005,2.0196,4840974.6
2025-11-13 12:00:00,2.0196,2.0543,1.9856,1.995,10394268.3
2025-11-13 16:00:00,1.9949,1.9993,1.8352,1.8435,16527774.6
2025-11-13 20:00:00,1.8435,1.8907,1.8208,1.8725,11734416.7
2025-11-14 00:00:00,1.8725,1.8789,1.8349,1.8429,8385763.1
2025-11-14 04:00:00,1.8429,1.8549,1.7626,1.8433,16947521.1
2025-11-14 08:00:00,1.8433,1.8437,1.7725,1.79,13150911.1
2025-11-14 12:00:00,1.79,1.8213,1.7422,1.8006,21011209.5
2025-11-14 16:00:00,1.8007,1.8208,1.7733,1.8085,8936484.6
2025-11-14 20:00:00,1.8084,1.8098,1.7054,1.7406,8341595.0
2025-11-15 00:00:00,1.7407,1.7985,1.7373,1.7918,5228347.4
2025-11-15 04:00:00,1.7919,1.8071,1.7796,1.7832,3358233.7
2025-11-15 08:00:00,1.7832,1.7847,1.7434,1.7563,3993339.5
2025-11-15 12:00:00,1.7563,1.7949,1.7528,1.7847,4068932.7
2025-11-15 16:00:00,1.7846,1.7962,1.7679,1.7861,3779348.8
2025-11-15 20:00:00,1.7862,1.7868,1.7536,1.7696,3025751.7
2025-11-16 00:00:00,1.7697,1.7731,1.7167,1.765,5131810.8
2025-11-16 04:00:00,1.7651,1.7747,1.7483,1.7658,2464954.1
2025-11-16 08:00:00,1.7658,1.781,1.709,1.7195,6875944.3
2025-11-16 12:00:00,1.7194,1.7287,1.667,1.6702,12626467.8
2025-11-16 16:00:00,1.6701,1.6988,1.642,1.6633,15724752.9
2025-11-16 20:00:00,1.6633,1.6955,1.6427,1.6792,10034748.1
2025-11-17 00:00:00,1.6792,1.7058,1.6548,1.7052,8085942.9
2025-11-17 04:00:00,1.7052,1.7289,1.7021,1.7229,5946178.5
2025-11-17 08:00:00,1.7229,1.7346,1.7098,1.7233,5569716.1
2025-11-17 12:00:00,1.7233,1.7353,1.6259,1.6541,22223922.3
2025-11-17 16:00:00,1.6541,1.6971,1.5861,1.5964,17703740.5
